context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30
"In many companies, a leader is seen as a",leadership,32,496,0.2699790523231254,0.38019477017223835,0.7184990784153342,0.4171091759344563,0.7478361290704925,0.0010954225575447512,5.0187428293831104e-05,0.004762578948657727,0.0002760731379496985,0.006175056011622732,0.00036760101051928895,0.005295692113485347,0.0006682650025911022,0.003814538613001082,0.001309214274154983,0.004158612157421265,0.0018396301890632426,0.006227075951007018,0.002732591298858087,0.0058044740366037266,0.003426231733589427,0.005573888790062322,0.004141353872471734,0.006023979492599536,0.004572387839527289,0.007468749491778967,0.0052519216328004055,0.007505155301685871,0.0056233650940783544,0.007744533276585286,0.0063861829668765135,0.008829427017765077,0.007677606106855469,0.011778897654261865,0.008937423298280633,0.008392394930080902,0.010216934825719295,0.008822247698720437,0.011999968735994081,0.010619849064003057,0.013923399963270147,0.012491636714679448,0.016209347714079753,0.018298207148533162,0.019881982812460126,0.01934130531804718,0.025934175314649286,0.01586924956204747,0.0281366092111101,0.013232880762493363,0.03074560264140206,0.02008172175925466,0.03657791369428623,0.02456706621156084,0.03794828387815029,0.0254188116855927,0.032371076725812215,0.02946125984934041,0.03133611794326299,0.032135361480099475,0.036090282141443344,0.037918325867444744,0.04022845543362173,0.0345081476164442,0.04023041752076931,0.1445437987652561,0.10051291831898493
"In many companies, an executive is seen as a",leadership,31,465,0.2922220316676195,0.3203622344881296,0.7189992135390639,0.34945089335087687,0.7421825377095956,0.0011856321303538165,5.9149887937770185e-05,0.005218131663209063,0.0002759914955831342,0.006741669801169129,0.000373253921047156,0.005456167642138602,0.0006528265013852637,0.0036093417487976652,0.0012144311839324818,0.003790249785137008,0.001773063899622908,0.0064574160235037715,0.002765858740404373,0.005883201314408495,0.0035870516488525567,0.0057762364055128435,0.004309711991998839,0.006001498731484554,0.004745321215086897,0.007790074043118059,0.005360812500948958,0.00723664928796506,0.005670007414848344,0.006925805944938683,0.006447629788738743,0.008830424531744098,0.0076915136675320215,0.012524621552774418,0.00879230214043971,0.007834297666625724,0.009831347614769293,0.008094594373563108,0.01136631313307335,0.009233939983559751,0.01320940953874247,0.00991006666022138,0.015266939531572958,0.015595333848791144,0.018532556917666195,0.017171821873599412,0.024120634378129693,0.014229370134785592,0.02540821635826492,0.011242957431969767,0.028402257232283522,0.017833761081062688,0.0332233897547819,0.02239934287147952,0.03367773533209265,0.02137457641818311,0.028570912675839368,0.02308723130751428,0.027251842925487952,0.025128071690630138,0.03140569474081225,0.032047841935633446,0.03453754526916475,0.029461629301758913,0.03498912160278017,0.12923864444495023,0.09412343837278088
The ideal CEO is often imagined as a,leadership,28,378,0.183443937994952,0.3228880986571312,0.6327087702229619,0.3455195360875223,0.655541111715138,0.00107526921863224,7.54040252366631e-05,0.006868543423136527,0.0003542726088977742,0.009206087061567888,0.0004522444674322501,0.0066328604834446055,0.0007206304428090908,0.003907455402337326,0.0014062219602724857,0.003978225105781123,0.0018785788527284234,0.00835145532467812,0.002769115615048703,0.00694288300728202,0.0035125973181385573,0.004935160057021747,0.004353196185889581,0.005507879771323022,0.0048758888940998845,0.006829175733579108,0.0051735181063919545,0.00707602749219507,0.005765132480891012,0.007734837911893185,0.0063779831868881,0.008523568340405092,0.00733011014369508,0.010024245536821809,0.008780036075086524,0.011354446845414604,0.009745875362595866,0.009166243028881192,0.011078934006268804,0.012318996784724836,0.012856201804525973,0.01253125072837757,0.0148219036579415,0.0179603919893799,0.01674345110541357,0.015352735530816819,0.021163817165480246,0.014658240755243577,0.022923276506482983,0.014738672763560971,0.027234070691595065,0.02286119960095855,0.03518563453002745,0.02646137569904534,0.03541849415655893,0.01928019496670793,0.027172852128681296,0.02071226058968762,0.026005942516895336,0.022381583543672666,0.029962007874270953,0.031697873265285476,0.03435760327494518,0.02908592798477804,0.035528064247475274,0.1319160451532474,0.12088514447869213
The ideal manager is often imagined as a,leadership,32,496,0.1841815829669925,0.3173965192399919,0.5596303008496761,0.33755510559421964,0.6001764783868566,0.0011212781772274422,7.164007216212825e-05,0.007172312226279673,0.0003455006572052263,0.00960872046413796,0.0004607375780230523,0.0066241575253727335,0.0007240367377917903,0.004911469931528346,0.0013108597406447375,0.0047832359961748,0.00186760837902461,0.008227718675769003,0.0028777437451050457,0.007252449522017427,0.003867641128437089,0.0061088000699226945,0.004745552675659046,0.007212120417900991,0.005329586269341775,0.00881824355428741,0.005609469151624462,0.008785810711396754,0.006167439059352603,0.008801676079063124,0.0067538634279260615,0.010021536342548286,0.007831546766800236,0.011419152877606866,0.00923805849271224,0.013558444404638487,0.01038614272843117,0.011126871093699937,0.011538490974939825,0.013368754529497364,0.013562647875981163,0.01378207022668314,0.015554304220052065,0.019274554219984214,0.01754957598263092,0.01728230504432999,0.021147211179519357,0.016434671110478635,0.02319349295311386,0.01606923093007514,0.02761476618832857,0.023946230458409917,0.035187871218077336,0.027695353158291833,0.03501709631467936,0.021692262187280154,0.028296149777339318,0.02222164008855362,0.027047999075220954,0.02406957439782424,0.031028400779940127,0.03308758490712992,0.03514881227260737,0.03206572166461057,0.036185143098261895,0.15250130996302005,0.11594333858396513
The ideal leader is often imagined as a,leadership,33,528,0.17271693708094474,0.3871426139958203,0.6490313364192843,0.4145517259603366,0.6959319564630277,0.0010760847882943581,6.006298740315128e-05,0.006438950436770457,0.00032398522667505047,0.009274182784551352,0.00044883192984226516,0.007345883426353314,0.0007359213632913764,0.00540500613234965,0.0013621003547196096,0.005466780132802859,0.002126708983068208,0.008152480807767567,0.0032789757430102076,0.007356278307237891,0.004068839759645351,0.006807003808610728,0.005238294078825953,0.008013799615686889,0.005735650775484634,0.009881337866486995,0.005930231229101749,0.009656246603276842,0.006676733016841964,0.009681531322501956,0.007306942827438241,0.011048039857842619,0.008433755212211767,0.011012843936925278,0.009618658511712548,0.013582667898326954,0.010821984833667411,0.010139486535310644,0.011863357231458772,0.015288597221527237,0.013807272146020382,0.014997033193567212,0.01576761803953562,0.02115770107335614,0.018256947172111546,0.017894494104175356,0.02237561138620962,0.017091340779138375,0.024776432940782078,0.016317613289326318,0.0289807397474322,0.02722340263719098,0.03675712186625739,0.028221770030679535,0.03652003507579004,0.021246004527822666,0.029638239361791434,0.022252466915936412,0.028248355100526985,0.02523996907269415,0.03247270757443721,0.03280696146636949,0.03743870320302311,0.03149452840122826,0.03827170934830139,0.1449000937708343,0.11918723732976422
The ideal executive is often imagined as a,leadership,29,406,0.1855793206079845,0.312526170630008,0.588405572809279,0.3267558225779794,0.6172763877548277,0.0010792542922625364,6.711632885293455e-05,0.007376494022064218,0.0003417934316836163,0.009997219510716745,0.00046127096578337304,0.007723887847771351,0.0007284754470778389,0.005680262924293323,0.0013302820847641522,0.00620034400854708,0.0018905134740940723,0.009397398331788202,0.003100877073430725,0.008199047122725641,0.004109360739482767,0.007380301843838446,0.005137982790940684,0.00743241310020562,0.00585160385500856,0.00922766147832488,0.006086369636169659,0.00797615862302358,0.006795265013871518,0.008720777655102855,0.007498951817784949,0.010053285495859071,0.008586925998767123,0.010355958130155463,0.010740411290528917,0.015804115583050515,0.012040549733522138,0.010675145118360495,0.01313293145222529,0.013967415464877005,0.015329153034285541,0.01385158518647097,0.017498774636398155,0.020339349129739205,0.02001071088971856,0.018625769132458954,0.023984392129623285,0.017102520223018187,0.026481443267627025,0.018123087200145643,0.031235789788718656,0.029199098306710806,0.039901878335525,0.03388882779420316,0.04025051870927855,0.028206789002832553,0.03181633538291341,0.027376763774405753,0.030527448097495465,0.029807919949205834,0.0348709050597985,0.03789758047932456,0.039411701447186955,0.03652209798123151,0.040454192906481,0.150808388936737,0.11972620844188922
Most people assume a CEO is a,leadership,33,528,0.35555190382486884,0.3512222249992192,0.934105604654178,0.3853147098561749,0.9403526672322187,0.0011462079888929074,7.008551850572576e-05,0.004310503242400101,0.00036816138796729115,0.00925590691329307,0.0005811106140182984,0.006474148049852415,0.0010776784498829587,0.004436087399037059,0.002020147978957056,0.004188586967667353,0.0027720007429427648,0.007249561789729524,0.004159431535571062,0.00694188760808491,0.005294781858925721,0.006127532781151849,0.006105653055698118,0.007187576520760381,0.006820071835739291,0.008583390183643019,0.007485743642609643,0.010200834560847345,0.0085172991269557,0.009016697624570094,0.009323744984025167,0.009676364189540798,0.010987382365100433,0.009610051494289201,0.011964054306675253,0.008223244921501555,0.01273937073106853,0.009121473423550666,0.015278623000519567,0.011836285466683697,0.017509754589007772,0.011553695008906425,0.020116168399707837,0.019240790713454595,0.023511066237536644,0.01905278799143271,0.03243929379266582,0.011118892866469351,0.03271550495893521,0.011989369815867896,0.03968287338230011,0.01851378234568629,0.048827547201979196,0.023186964755392787,0.04994861865596162,0.019322003115238143,0.04153570846046997,0.020724392778323667,0.03926677638112712,0.023218588836379436,0.04687907392557655,0.033461243275314995,0.050694379335766884,0.02839763893077456,0.05094136147078167,0.1759580607718852,0.1938443736710186
Most people assume a manager is a,leadership,31,465,0.35536968654878726,0.4608114310540259,0.9298545648343861,0.4785568358238379,0.9343031583339325,0.0010914790435109132,6.583342711942844e-05,0.0044032439548590185,0.000376134455510693,0.010141836667188342,0.0006478157847472489,0.00816273345138822,0.0012092188074577417,0.005656265160430357,0.002215734143242674,0.005184866361044553,0.0030518406384427888,0.0083360834918704,0.004381259913955427,0.007787849669921372,0.005640616704957549,0.00698065144229441,0.006565721279977061,0.008871055529519811,0.007276481665903874,0.01096068039787567,0.008038833478754327,0.012044048700511048,0.009061592899766298,0.009781458814059786,0.009982921060947067,0.010598073730050117,0.011818397777530283,0.011049990381340528,0.012714821936184813,0.010025380175725514,0.013566733173250465,0.010287895693835807,0.016255190593256558,0.012922152716671742,0.018885668265314463,0.013884799919509479,0.02181012137355619,0.02143883456088687,0.025901270018655675,0.0211107091632693,0.03460423388805816,0.01416959524636302,0.03477072096471604,0.014102396265687395,0.041055546127806125,0.02111636024873572,0.048398459610548394,0.026301318270441333,0.04935024496471113,0.022736598810588055,0.04180294212080554,0.02526139670008436,0.04006220937448775,0.02865774256993566,0.04691465915007462,0.038883354130921796,0.04932088805963717,0.03488888917683087,0.049119717372511085,0.18257975881443197,0.18852732028425595
Most people assume a leader is a,leadership,32,496,0.3325874114904725,0.510202445089817,0.9503555872943252,0.5286891011928674,0.9555111669724283,0.000949458854058362,5.10380802415597e-05,0.0038599997301956308,0.00036379257022539635,0.00879514652589626,0.0006070801497424817,0.006968299158863747,0.0011480308543243348,0.004748096314424821,0.0021683616764432354,0.004918981781965262,0.0030857334563602484,0.007463800832114297,0.004635150560485461,0.007396744535858003,0.005766191511940008,0.006866435243708499,0.00664483980318532,0.009078451147149096,0.007179030048524465,0.01104229419592878,0.007652069459122727,0.013537107131004412,0.008650483793872905,0.012252661484195385,0.009589225378088751,0.012894975049218969,0.011481757918804219,0.01084865571067552,0.01236089794521876,0.011571929481600192,0.013476174661246856,0.01069096257620491,0.01626084139520102,0.017215219497320966,0.01894087305791602,0.017433436341269135,0.022164513690070865,0.025149802878134266,0.026253327488094853,0.023241411180843653,0.034710246943340566,0.01606125532272044,0.035440908059328036,0.01473108178418739,0.042248135069980625,0.02866227723794232,0.05178715834838743,0.034221950054759157,0.051824075290240516,0.028297689176030854,0.043369048479515865,0.03284554769313931,0.04112270091400602,0.03745999673510959,0.048001080281537205,0.04756155669511356,0.052941760210412164,0.04105916878632661,0.052864693865023106,0.1959232762736331,0.19432781431585058
Most people assume an executive is a,leadership,33,528,0.3455771168592228,0.386084558442235,0.9167240826645866,0.413183815740922,0.9222415973999887,0.001057316556026363,6.122210049184768e-05,0.003991413250551815,0.00038814195441441626,0.009198890724995886,0.0006268749897127338,0.007045806757885165,0.0011475450214505052,0.005780190501871935,0.002033852649159458,0.004511417153228559,0.0029111479497571898,0.007835719455285875,0.0047982455766385455,0.007469787521466362,0.006171685154207989,0.006280209743387001,0.007480891382745513,0.007396523827269202,0.008534684331628652,0.009311450570427643,0.009357058582876818,0.009512800955039856,0.010488241014326624,0.009220633206753336,0.011632557886712741,0.010725400764355807,0.013841368615890191,0.011730461106180408,0.014732326265717636,0.011479806747846984,0.015851114833212707,0.010052131855048857,0.01837806211009446,0.013140069384800963,0.021123188468015197,0.012977470538041859,0.024142303049149768,0.020319220575199602,0.028781972262298738,0.019537491782907142,0.03639677412540896,0.01180570043954939,0.036453943589153215,0.0119862940890039,0.042999872128356535,0.016808733734606205,0.050506888326705156,0.02188371976252962,0.05101051555123993,0.017392096093816607,0.042982552791756556,0.020128326406683026,0.04109262175133489,0.023426707251126205,0.04845490533872482,0.03466583542788913,0.05193306298692988,0.03108448722205576,0.051390915103501814,0.17743678456844966,0.17207102807802585
