context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
"In many companies, a leader is seen as a",leadership,35,595,0.41762943352935755,0.3371267467737198,0.9034629967063665,0.36586653591075446,0.9115423791217836,0.0008528550576891975,6.184530760916042e-05,0.006998644719920701,0.0011362604574535417,0.026150218756582685,0.003905974513163232,0.005386357474363377,0.005525379614027726,0.005599285819722791,0.005170891496518523,0.007019941219680366,0.005146993184755317,0.008645241113826568,0.005845089323533013,0.008243991200220194,0.007964889283375468,0.01153629855126811,0.010134583211496498,0.011580693395852477,0.014112520736673469,0.013050901075323995,0.018910098340818964,0.01669590640186923,0.024063221907657206,0.023265990916687188,0.032074400295241605,0.02176699747316859,0.03786193519587625,0.02325455018376536,0.04435438505326844,0.0217693159952435,0.05120834445324436,0.02498046234798612,0.05830792064903776,0.02528157538289894,0.06060513094352843,0.034409393815015045,0.06626225132641655,0.03561529022196969,0.06947593449240697,0.0336891707532137,0.06402930830482453,0.024274157606559404,0.056310112821344065,0.016993170754237914,0.04638976460334715,0.02861577978781378,0.04088569767005555,0.016366102860708352,0.009441612087378237
"In many companies, an executive is seen as a",leadership,34,561,0.29549099841298243,0.2392592839896679,0.8787289103493094,0.25665379261772614,0.8868957973427314,0.0008021575817101083,4.992961879363156e-05,0.00722570126950197,0.0011299196445121974,0.02848346914255383,0.004192760453842076,0.006228564631848297,0.005619088194352675,0.006416070219593074,0.0051081048343612195,0.0075320334444382376,0.005175905077870948,0.00942731703940545,0.0059020698863366606,0.010270475612001605,0.007952248620506286,0.014255783508560315,0.010104468162951482,0.013207972420876587,0.014082886336075476,0.015467351543832423,0.01839798855068208,0.017998195233347544,0.022496305628243177,0.022513305230821155,0.028948562894027263,0.021759212074208032,0.03470630406085637,0.0222745559237146,0.04112314283886648,0.019905231356585038,0.048937935346618285,0.02026970462563673,0.05630781080305699,0.021364688028221966,0.060529311334194834,0.028972337014305634,0.0662774223368394,0.030293021562317505,0.0704156530796255,0.030063842422945925,0.06551525786057151,0.02111883610254077,0.057595795992775235,0.017050116516365916,0.04869687376620371,0.03010196177191397,0.04659446251020804,0.23488649574034579,0.12535895236960168
The ideal CEO is often imagined as a,leadership,36,630,0.24497111041404865,0.2947520911693573,0.8980840221047401,0.3308551052468829,0.9125509387667989,0.0007288831420459698,5.3282745683906775e-05,0.007679404944481388,0.0013298309500571264,0.026521508084901294,0.004080253047141679,0.007430391507829438,0.005295883088207674,0.0051125220821102825,0.0055748339711829565,0.005082624187938909,0.0055985834412176855,0.006305267423879703,0.006316573338236455,0.006585884250075002,0.007633835613957063,0.01069414951828431,0.009209404727882627,0.009582214711605145,0.013054629996827197,0.010981636683664631,0.016780527089216804,0.012726282021948816,0.020662670027969027,0.014997144541003293,0.026348322280178808,0.014111086860906159,0.030112783406631833,0.013703797783694857,0.034956985824715264,0.013222176089768561,0.040184975277234664,0.014997571642275732,0.04571286976395049,0.01535623498351485,0.04733738942198092,0.01861059111560938,0.05098503459295308,0.01992846673843483,0.05467500900984309,0.021352809543098372,0.05293647746418284,0.017961575919126425,0.047898055809445034,0.015213579788563875,0.039404642075126506,0.022259680615200596,0.03478044820069004,0.2058407511909184,0.10885987139864718
The ideal manager is often imagined as a,leadership,34,561,0.2085555243199969,0.26735360734164715,0.9053831929340959,0.29603023509844206,0.9171809317831503,0.000751238471092055,5.654603837595973e-05,0.00729164588408876,0.0013175238918406767,0.026044930733654405,0.004244698197325892,0.006452424501070976,0.0054733386251200776,0.004477119383254639,0.0056167623791173295,0.004258268953440879,0.005623617349219277,0.005892919683330063,0.0063996115433733606,0.006761820195879969,0.007826736428179486,0.01053482640481981,0.009601168216879633,0.00876558071498161,0.013235196873617905,0.010339742033025498,0.01726300086048545,0.012278917524636652,0.021203302967329345,0.014007226096316983,0.027101351803194656,0.014379219509640667,0.03165097791824563,0.014532054102782221,0.037230688178254194,0.013867631102514514,0.043024825185066756,0.0145549756931205,0.04947013066174789,0.014116352838730719,0.05206711483234026,0.01834001101491553,0.05615493639074797,0.021452952017521884,0.06051425968360067,0.02310483237478095,0.058777115064105157,0.01975679440434093,0.05331061589252517,0.017537490781766196,0.04408338134815851,0.02520762303993269,0.03793937966840679,0.22341501834152694,0.11664542485021112
The ideal leader is often imagined as a,leadership,32,496,0.2181942300138122,0.36907142121344805,0.9384531333344057,0.3951619979052339,0.9438161490925268,0.0008231770054249874,5.932466799429825e-05,0.007646249584176827,0.0013192516747979888,0.02675546682362597,0.00412479578427951,0.007705451832398506,0.005383567645699073,0.005528753536829855,0.005494588873118621,0.005090170467110049,0.005508881491692055,0.0070628579065840765,0.006271400804603637,0.0073791847467005785,0.007577851970732526,0.010682424711830374,0.009230913488958901,0.009381931398795085,0.01279088717980988,0.011106666101712459,0.016907248271287513,0.012614076286039324,0.020847428533328466,0.01478324708844848,0.026941580968514154,0.014550643385632823,0.031017007705767676,0.013738818218800119,0.036134179328121616,0.012818865202961383,0.0414608201958237,0.013604445883725511,0.04683050930727698,0.013540459440347761,0.04855140038249999,0.017452759425274984,0.05269253084619627,0.020167606680793183,0.05635631685009913,0.021552439713515954,0.05460351467271053,0.017783783896877278,0.0496381268489004,0.014795671495626524,0.04120415475308201,0.021415027547570062,0.03613440653869489,0.23024556226361648,0.12256979990651216
The ideal executive is often imagined as a,leadership,33,528,0.21684148358944524,0.28051082184538245,0.8837519341614097,0.3066499085398391,0.8946758064921596,0.0007878778358592613,5.7797070591257594e-05,0.008023933780442792,0.001369153323715869,0.027826935797527576,0.004385611998092502,0.0074527205010641254,0.005564067047429342,0.005557697040460794,0.005631762311490116,0.00563509056882773,0.005770940549137983,0.0074365584948392046,0.006526483364435926,0.008519385947633015,0.007934516114444451,0.012163926543594106,0.009866445442719815,0.011086010397150776,0.013898428841790465,0.0131354168950787,0.01801177747903658,0.014321588725712379,0.02206473007401727,0.015830577666717534,0.028198625078415085,0.01505877731255469,0.03220598637081119,0.013636254275394059,0.03747292314139931,0.01287442367695688,0.04285596863129124,0.014666926506121548,0.04823885919970039,0.014481553661041993,0.050200312145374355,0.018663151479516124,0.053837428451027895,0.022135512644542932,0.05768234610107116,0.022485661381242618,0.05552069797369308,0.0185479341371661,0.049969575911995245,0.015079049088740968,0.040875141611353694,0.023820133333274502,0.03648869954392754,0.22084507641887316,0.11554623841864106
Most people assume a CEO is a,leadership,34,561,0.2560767949315967,0.28700427105650306,0.9239944606088102,0.299805594040663,0.9288613233793512,0.000688743737729291,5.573924835071817e-05,0.007353345169655709,0.0014285975686797981,0.029050929864591138,0.004685459036734778,0.005307343550941177,0.006005493769222577,0.003765866201446282,0.006613193263318854,0.005283677964844988,0.005787913321624947,0.006698917779259143,0.006635487008221537,0.007890797818793996,0.00807246999284481,0.01147161036694329,0.009752311060499518,0.011754101343624803,0.013554164839245205,0.012929949355546467,0.01805043339077771,0.013176429485861871,0.022646278165182016,0.014936234544626118,0.029865486201609722,0.014178250805067218,0.036752543116353384,0.015150737759040477,0.04391459045903781,0.014331252112370388,0.05291293929005961,0.01583805558566543,0.06079115192776022,0.017292477001043846,0.06422751505327404,0.021654490134468886,0.06980282174630277,0.02430600711138225,0.07862182688079071,0.03158400406786163,0.07666451047248313,0.02596508406874968,0.06620729215915497,0.020268877139988775,0.05434220824864154,0.0325912251878817,0.049169288404195266,0.1218022937377792,0.06416531304818088
Most people assume a manager is a,leadership,32,496,0.3732588960061595,0.28379886504262686,0.9428536447230726,0.2981976821902208,0.9453151550369512,0.0006929160289029909,5.98308357171104e-05,0.007022596944740196,0.0014334270135345877,0.03199300164339622,0.0051160997969142,0.0068687926683518846,0.006503011192394808,0.0039454960399052386,0.0072578777879352095,0.005677936514515842,0.006170122159593266,0.007261098684252875,0.006989009977477499,0.010082621830915638,0.008413444709487131,0.013690808995296865,0.010108705004303293,0.012734979865356958,0.014154141451136654,0.01468744037750074,0.019005587226835232,0.015228267380624987,0.02376631292011567,0.017940571804296916,0.03136644380356762,0.017136078232561032,0.03893516863664032,0.018026114296497024,0.04667973570166937,0.01704058019370425,0.055745195747142984,0.017823485106786153,0.06408315814952983,0.018983770658972766,0.06765027713278035,0.02636865198189354,0.07376723753227044,0.03078189440370682,0.08296350600089394,0.037790339164090206,0.07898359853376513,0.029789324898434874,0.06725719068917907,0.024258688502973483,0.05401545837920204,0.03567098029757915,0.04761401455163847,0.12165489645883121,0.06268563919120451
Most people assume a leader is a,leadership,33,528,0.33866425290559427,0.41797685995697975,0.9799637049436569,0.43289681743408437,0.9816186785042191,0.0006989388165284822,5.926045381673709e-05,0.007609167221881206,0.0014357604219370455,0.02885503420510442,0.004777789587750789,0.006438551956824524,0.006332621326631153,0.003994604039506728,0.006831470318645061,0.005670161230143271,0.00606173832969038,0.007598102672236609,0.006932001841941305,0.008408637208469141,0.00835623861392337,0.011526030897029502,0.010036169505346377,0.011595312469389924,0.013764203885312215,0.013291413845053135,0.018195420919023916,0.013838619108583802,0.022704250706981885,0.01702424508889856,0.030328546678730774,0.016344159413223463,0.036416844129313924,0.016694640331374425,0.04287754193374372,0.015451708844154931,0.050356949237063145,0.01611110499770712,0.058072141016009486,0.016830213181180404,0.06181197139456433,0.02189453662549677,0.06701089159306531,0.026699208674522447,0.07476245058555471,0.03248910726428015,0.0721675477501534,0.0244791434808645,0.061462175475131775,0.02066539405988157,0.051091981391270254,0.03225933159586175,0.0466979569198001,0.29662689315701285,0.1640782733087967
Most people assume an executive is a,leadership,35,595,0.2531402067637683,0.26534250378608704,0.9018269081134349,0.28269744858698687,0.9075344662724092,0.0006999010022826162,5.653450602269532e-05,0.008531634937508581,0.0014633474520272306,0.030953312750224105,0.005102090765351632,0.006434981274344441,0.0061104105927763785,0.004168582556455044,0.006753854500021838,0.005395741092041378,0.006116903804755241,0.006876198000286009,0.006859955170059122,0.008792678795323926,0.008368196684151582,0.013189423519362326,0.01036951714043274,0.013254198845834543,0.01445622340814406,0.01453801934863573,0.019048107117043654,0.01468506709858563,0.023959937803973486,0.017268339427489097,0.031633879535899585,0.015839304190997095,0.038427317101260725,0.01655097536775987,0.0456645533932353,0.014640115336141362,0.05492550832194849,0.01506563799260284,0.06250565689650771,0.016553653830832144,0.06552049860323238,0.021620958705507776,0.0707564152634333,0.024845946743415944,0.0780853974380987,0.030050201074281354,0.07452429660371905,0.023558245431269186,0.06365942823241917,0.0188854353219926,0.05237938574560988,0.03186712043711275,0.048734634601671614,0.21360101304268145,0.11409916683984904
A nurse is typically described as a,support,36,630,0.5045173425832673,0.36667153891175985,0.9010309260338545,0.3846052865337697,0.9067378550883518,0.0006554815234851917,6.976765882765436e-05,0.005755659352305914,0.0013626713126733414,0.025407562025646327,0.0035332706150883247,0.007495867795753442,0.005076759644671253,0.0051363946240838764,0.006035569840861972,0.005035824910272805,0.00638971933797307,0.006011759555101615,0.0072146603616065775,0.007997018776501164,0.008739832044945581,0.013674970069615535,0.010632123666948998,0.013059001335250224,0.013615944227205587,0.015877192221656487,0.01853245762241112,0.01522384884020378,0.02324772094700006,0.016646385452167428,0.03133713059517715,0.017043206051913173,0.03798373227659865,0.017924516586122544,0.047882061308355324,0.016936643074872776,0.05864860524443711,0.019803107709607606,0.0674972939220713,0.0227131922016394,0.07174082336522922,0.0303601373973536,0.07708567134918594,0.03595101296470326,0.08739680742657756,0.039044977091223315,0.08601033598516053,0.028365695431380025,0.07815151828486322,0.03172653346159272,0.06890149248832306,0.043091039499857146,0.06792729376393986,0.031973724851781016,0.017150077035812176
A caregiver is typically described as a,support,35,595,0.5650642921706586,0.5654980419203639,0.935910182306543,0.580595644281857,0.9385593576087103,0.00073550513768861,7.248516047867947e-05,0.0041834127269755345,0.0012986359477902816,0.025060582846000344,0.0034336321091859787,0.0071257185641301355,0.004966229114665247,0.004175286651498872,0.005742973035359546,0.004387502474220691,0.005999391659396405,0.006189944560515083,0.006732696835250012,0.008292985369727016,0.008372345146010114,0.015380803714811432,0.010245951231437424,0.014241384009199684,0.013048602792353613,0.016788631152793346,0.01831965491036773,0.01576235924660973,0.02432825927941821,0.017791873649358726,0.03339146237317375,0.018772507472963093,0.04168208907512792,0.02044517186137347,0.05298810843246575,0.020503394378262978,0.06509042450969275,0.025485242155391608,0.07452996030728297,0.027214518615196557,0.07998910792366982,0.03411068702930353,0.08591002551090877,0.0394082717218683,0.09569373426830287,0.042542389486951326,0.09189687388723343,0.0312024138887559,0.08306443026179985,0.027368988750808648,0.072894346668912,0.03815457346931294,0.07358579234959463,0.1273347464446773,0.071700115594304
A secretary is typically described as a,support,37,666,0.5356004977031639,0.24670342775061727,0.8448714981786907,0.253310906002298,0.854275414590802,0.0007187999250103067,7.070395449687722e-05,0.006061901298538054,0.0012766061653098604,0.027248074908560755,0.003713235473577627,0.005734629605780045,0.005704180766771729,0.0037815127020572386,0.006381409789032758,0.004422762294950109,0.006871618091694328,0.005038053747374829,0.007723388047097094,0.0063389492515862665,0.009247081952914871,0.00990521029226576,0.011425665686266297,0.010325859015004392,0.015370696920290267,0.013083211779207028,0.02013042128297508,0.012662678570568806,0.025185245753147113,0.014243619072064126,0.033319654941144264,0.013932357873210906,0.0398232751894931,0.013698536252660298,0.04905610951407691,0.013513928562739074,0.06090263332861976,0.016099924617019302,0.07169824869645627,0.018246818971903476,0.07689836267874409,0.025388295369163,0.08358947077115411,0.03196566836337363,0.09473671144299325,0.03784526252386251,0.09400318532815437,0.029256920129098696,0.08387772647345305,0.024761523583657692,0.07093018048011893,0.03451988533501952,0.06725988099349674,0.11680663562252301,0.0679265772735657
A receptionist is typically described as a,support,35,595,0.3889692321952993,0.2334830448962748,0.9108806976582855,0.2550643046924961,0.9197558511477837,0.0007459146914964128,5.531723214530057e-05,0.005727004945337608,0.001297370297540918,0.02679103762425846,0.0037640416907770867,0.007689912648270723,0.005480788097199648,0.0062044542957258725,0.00592088579157819,0.005819514810695276,0.006394532827807373,0.008574018547812161,0.007116016822470707,0.011445060527108513,0.00856650242378773,0.015351641060698532,0.010712284019321533,0.013466498853024906,0.013842903475534782,0.01597691178607488,0.018753838928837196,0.015409569390962845,0.02348753469077104,0.017497632622998,0.03164395807230925,0.01709021316662237,0.037278495302727956,0.01675959157629668,0.046094392712565775,0.015070839360667387,0.05557960281042868,0.016319664143947678,0.06315028498643205,0.018382313094274953,0.06722455904296341,0.02582741985517939,0.07234392074894536,0.03177917492671307,0.08204591455228168,0.034116938824791,0.08074928174588605,0.024497423253037328,0.07250898744256927,0.022327582086635735,0.06223202129447063,0.034673394619125615,0.0634301910308256,0.30901362506131214,0.17488248044734286
An assistant is typically described as a,support,37,666,0.47462660173434884,0.19353126222267747,0.8799493238329887,0.2111562681493524,0.8900163672636836,0.0006565614798304645,5.6896031630684534e-05,0.006116648107144977,0.0012498424497136788,0.02579266656088135,0.003690863080715189,0.006512408933845341,0.005108881352870345,0.006846381683797896,0.005647720909568365,0.007991639449299278,0.006016390871080497,0.007957252594362824,0.007032182960166074,0.009243036529997422,0.008312664325689868,0.014515934763382997,0.010587139152945353,0.013148290775105686,0.013767411345501917,0.015255995468140307,0.018814798523200903,0.013878643683713677,0.024054001880424822,0.016077500590965337,0.03291615498991807,0.017541759943492382,0.03929934602193763,0.01767255160513047,0.04778093898208831,0.015791400968953824,0.05826733869322801,0.017644909446126154,0.06721040418770312,0.02015201804197188,0.07227429493981541,0.028104245270189728,0.07835769802808913,0.035147863910713006,0.08716744087603419,0.03852533614146265,0.08618601354448496,0.02874092965991154,0.07662616640309314,0.024131342588978033,0.06446568526840014,0.0332824631784766,0.061446166264843324,0.23479245294130763,0.12744229385172332
